,source,target,weight
0,1,24,0.4
1,1,14,0.8
2,1,10,0.2
3,1,8,0.6
4,1,30,1.0
5,2,28,0.4
6,2,6,0.8
7,2,19,0.2
8,2,37,0.6
9,2,39,1.0
10,3,25,0.4
11,3,27,0.8
12,3,26,0.2
13,3,35,0.6
14,3,32,1.0
15,4,11,0.4
16,4,17,0.8
17,4,15,0.2
18,4,29,0.6
19,4,31,1.0
20,5,15,0.4
21,5,26,0.8
22,5,32,0.2
23,5,12,0.6
24,5,13,1.0
25,6,33,0.4
26,6,19,0.8
27,6,29,0.2
28,6,39,0.6
29,6,2,1.0
30,7,37,0.4
31,7,20,0.8
32,7,40,0.2
33,7,33,0.6
34,7,21,1.0
35,8,18,0.4
36,8,14,0.8
37,8,30,0.6
38,8,1,1.0
39,9,23,0.4
40,9,24,0.8
41,9,10,0.2
42,9,38,0.6
43,9,41,1.0
44,10,9,0.4
45,10,23,0.8
46,10,41,0.6
47,10,24,1.0
48,12,32,0.4
49,12,40,0.8
50,12,5,0.2
51,12,27,0.6
52,12,26,1.0
53,13,26,0.4
54,13,3,0.8
55,13,12,0.2
56,13,27,0.6
57,13,5,1.0
58,14,28,0.4
59,14,30,0.8
60,14,2,0.2
61,14,8,0.6
62,14,1,1.0
63,15,40,0.4
64,15,27,0.8
65,15,35,0.2
66,15,3,0.6
67,15,2,1.0
68,16,28,0.8
69,16,11,0.6
70,16,36,1.0
71,18,26,0.4
72,18,13,0.8
73,18,32,0.2
74,18,11,0.6
75,18,5,1.0
76,19,2,0.4
77,19,39,0.8
78,19,37,0.2
79,19,6,0.6
80,19,29,1.0
81,20,7,0.8
82,20,24,0.6
83,20,21,1.0
84,21,20,0.8
85,21,40,0.6
86,21,7,1.0
87,22,26,0.4
88,22,12,0.8
89,22,25,0.2
90,22,36,0.6
91,22,5,1.0
92,23,10,0.4
93,23,9,0.8
94,23,24,0.6
95,23,41,1.0
96,24,34,0.4
97,24,9,0.8
98,24,23,0.2
99,24,10,0.6
100,24,41,1.0
101,25,32,0.4
102,25,27,0.8
103,25,3,0.6
104,25,40,1.0
105,26,32,0.4
106,26,5,0.8
107,26,27,0.6
108,26,12,1.0
109,27,32,0.4
110,27,26,0.8
111,27,15,0.2
112,27,12,0.6
113,27,5,1.0
114,28,16,0.4
115,28,2,0.8
116,28,31,0.2
117,28,35,0.6
118,28,37,1.0
119,29,2,0.4
120,29,39,0.8
121,29,33,0.2
122,29,6,0.6
123,29,19,1.0
124,30,8,0.8
125,30,14,0.6
126,30,1,1.0
127,31,35,0.4
128,31,17,0.8
129,31,11,0.6
130,31,4,1.0
131,32,26,0.4
132,32,34,0.8
133,32,12,0.2
134,32,3,0.6
135,32,27,1.0
136,33,2,0.4
137,33,7,0.8
138,33,29,0.2
139,33,6,0.6
140,33,37,1.0
141,34,15,0.4
142,34,24,0.8
143,34,26,0.2
144,34,29,0.6
145,34,38,1.0
146,35,3,0.4
147,35,27,0.8
148,35,32,0.2
149,35,15,0.6
150,35,32,1.0
151,36,11,0.4
152,36,22,0.8
153,36,18,0.6
154,36,16,1.0
155,37,28,0.4
156,37,39,0.8
157,37,6,0.2
158,37,33,0.6
159,37,2,1.0
160,38,9,0.8
161,38,10,0.6
162,38,34,1.0
163,39,2,0.4
164,39,29,0.8
165,39,37,0.2
166,39,6,0.6
167,39,19,1.0
168,40,15,0.4
169,40,12,0.8
170,40,35,0.2
171,40,26,0.6
172,40,25,1.0
173,41,24,0.8
174,41,23,0.6
175,41,9,1.0
