,source,target,weight
0,2,39,0.4
1,2,28,0.8
2,2,4,0.2
3,2,19,0.6
4,2,6,1.0
5,3,25,0.4
6,3,27,0.8
7,3,26,0.2
8,3,35,0.6
9,3,32,1.0
10,4,17,0.8
11,4,31,0.6
12,4,11,1.0
13,5,12,0.4
14,5,26,0.8
15,5,25,0.6
16,5,13,1.0
17,6,4,0.4
18,6,39,0.8
19,6,29,0.2
20,6,19,0.6
21,6,2,1.0
22,7,21,1.0
23,8,14,0.4
24,8,1,0.8
25,8,30,0.6
26,8,8,1.0
27,9,23,0.4
28,9,24,0.8
29,9,34,0.2
30,9,38,0.6
31,9,41,1.0
32,10,35,0.4
33,10,24,0.8
34,10,27,0.2
35,10,9,0.6
36,10,23,1.0
37,12,5,0.4
38,12,40,0.8
39,12,22,0.2
40,12,27,0.6
41,12,26,1.0
42,13,32,0.4
43,13,27,0.8
44,13,40,0.2
45,13,3,0.6
46,13,5,1.0
47,14,28,0.4
48,14,8,0.8
49,14,2,0.2
50,14,1,0.6
51,14,30,1.0
52,15,21,0.4
53,15,7,0.8
54,15,27,0.6
55,15,35,1.0
56,18,32,0.4
57,18,36,0.8
58,18,22,0.2
59,18,18,0.6
60,18,11,1.0
61,19,2,0.4
62,19,6,0.8
63,19,33,0.2
64,19,39,0.6
65,19,29,1.0
66,20,34,0.4
67,20,21,0.8
68,20,10,0.2
69,20,25,0.6
70,20,24,1.0
71,21,7,1.0
72,22,5,0.4
73,22,36,0.8
74,22,25,0.6
75,22,18,1.0
76,23,10,0.4
77,23,9,0.8
78,23,41,0.6
79,23,24,1.0
80,24,9,0.4
81,24,10,0.8
82,24,1,0.2
83,24,41,0.6
84,24,34,1.0
85,25,3,0.4
86,25,22,0.8
87,25,34,0.2
88,25,20,0.6
89,25,27,1.0
90,26,27,0.4
91,26,12,0.8
92,26,5,0.6
93,26,40,1.0
94,27,13,0.4
95,27,32,0.8
96,27,40,0.2
97,27,3,0.6
98,27,25,1.0
99,28,16,0.4
100,28,31,0.8
101,28,2,0.2
102,28,37,0.6
103,28,11,1.0
104,29,34,0.4
105,29,6,0.8
106,29,2,0.2
107,29,39,0.6
108,29,19,1.0
109,30,11,0.4
110,30,17,0.8
111,30,35,0.6
112,30,4,1.0
113,31,14,0.4
114,31,17,0.8
115,31,11,0.2
116,31,35,0.6
117,31,4,1.0
118,32,26,0.4
119,32,27,0.8
120,32,12,0.2
121,32,35,0.6
122,32,3,1.0
123,33,29,0.4
124,33,6,0.8
125,33,19,0.2
126,33,3,0.6
127,33,37,1.0
128,34,38,0.4
129,34,10,0.8
130,34,20,0.6
131,34,24,1.0
132,35,31,0.4
133,35,27,0.8
134,35,40,0.2
135,35,3,0.6
136,35,32,1.0
137,36,22,0.4
138,36,18,0.8
139,36,11,0.6
140,36,16,1.0
141,37,39,0.4
142,37,2,0.8
143,37,35,0.2
144,37,33,0.6
145,37,27,1.0
146,38,41,0.4
147,38,37,0.8
148,38,34,0.2
149,38,33,0.6
150,38,7,1.0
151,39,2,0.4
152,39,19,0.8
153,39,29,0.2
154,39,37,0.6
155,39,6,1.0
156,41,38,0.4
157,41,24,0.8
158,41,34,0.2
159,41,23,0.6
160,41,9,1.0
