,source,target,weight
0,1,24,0.4
1,1,8,0.8
2,1,31,0.2
3,1,14,0.6
4,1,30,1.0
5,2,39,0.4
6,2,6,0.8
7,2,28,0.2
8,2,19,0.6
9,2,37,1.0
10,3,35,0.4
11,3,32,0.8
12,3,25,0.2
13,3,27,0.6
14,3,15,1.0
15,4,17,0.8
16,4,29,0.2
17,4,11,0.6
18,4,31,1.0
19,5,25,0.4
20,5,18,0.8
21,5,26,0.6
22,5,13,1.0
23,6,19,0.4
24,6,39,0.8
25,6,29,0.2
26,6,33,0.6
27,6,2,1.0
28,7,15,0.4
29,7,20,0.8
30,7,37,0.2
31,7,41,0.6
32,7,21,1.0
33,8,3,0.4
34,8,30,0.8
35,8,18,0.2
36,8,14,0.6
37,8,1,1.0
38,9,23,0.4
39,9,24,0.8
40,9,10,0.2
41,9,38,0.6
42,9,41,1.0
43,10,34,0.4
44,10,9,0.8
45,10,20,0.6
46,10,24,1.0
47,11,31,0.8
48,11,17,0.6
49,11,4,1.0
50,12,32,0.4
51,12,26,0.8
52,12,22,0.2
53,12,27,0.6
54,12,40,1.0
55,13,32,0.4
56,13,18,0.8
57,13,3,0.2
58,13,27,0.6
59,13,5,1.0
60,14,18,0.4
61,14,30,0.8
62,14,28,0.2
63,14,8,0.6
64,14,1,1.0
65,15,7,0.4
66,15,27,0.8
67,15,2,0.2
68,15,35,0.6
69,15,17,1.0
70,16,35,0.4
71,16,35,0.8
72,16,11,0.6
73,16,28,1.0
74,18,5,0.4
75,18,40,0.8
76,18,12,0.2
77,18,11,0.6
78,18,26,1.0
79,19,2,0.4
80,19,39,0.8
81,19,33,0.2
82,19,6,0.6
83,19,29,1.0
84,20,10,0.4
85,20,7,0.8
86,20,25,0.2
87,20,24,0.6
88,20,21,1.0
89,21,15,0.4
90,21,20,0.8
91,21,40,0.6
92,21,7,1.0
93,22,36,0.4
94,22,26,0.8
95,22,18,0.2
96,22,5,0.6
97,22,12,1.0
98,23,36,0.4
99,23,9,0.8
100,23,10,0.6
101,23,24,1.0
102,24,9,0.4
103,24,34,0.8
104,24,41,0.2
105,24,20,0.6
106,24,10,1.0
107,25,34,0.4
108,25,20,0.8
109,25,27,0.2
110,25,26,0.6
111,25,40,1.0
112,26,40,0.8
113,26,5,0.6
114,26,12,1.0
115,27,15,0.4
116,27,26,0.8
117,27,25,0.2
118,27,3,0.6
119,27,12,1.0
120,28,6,0.4
121,28,16,0.8
122,28,11,0.2
123,28,37,0.6
124,28,2,1.0
125,29,33,0.4
126,29,39,0.8
127,29,24,0.2
128,29,6,0.6
129,29,19,1.0
130,30,18,0.4
131,30,8,0.8
132,30,14,0.6
133,30,1,1.0
134,31,35,0.4
135,31,17,0.8
136,31,11,0.6
137,31,4,1.0
138,32,12,0.4
139,32,27,0.8
140,32,18,0.2
141,32,3,0.6
142,32,35,1.0
143,33,19,0.4
144,33,6,0.8
145,33,7,0.2
146,33,2,0.6
147,33,37,1.0
148,34,29,0.8
149,34,38,0.6
150,34,24,1.0
151,35,16,0.4
152,35,31,0.8
153,35,40,0.2
154,35,27,0.6
155,35,32,1.0
156,36,37,0.4
157,36,16,0.8
158,36,35,0.2
159,36,18,0.6
160,36,22,1.0
161,37,39,0.4
162,37,2,0.8
163,37,6,0.2
164,37,28,0.6
165,37,33,1.0
166,38,37,0.4
167,38,9,0.8
168,38,7,0.2
169,38,41,0.6
170,38,34,1.0
171,39,6,0.4
172,39,37,0.8
173,39,14,0.2
174,39,2,0.6
175,39,19,1.0
176,40,35,0.4
177,40,12,0.8
178,40,14,0.2
179,40,27,0.6
180,40,26,1.0
181,41,23,0.4
182,41,24,0.8
183,41,14,0.2
184,41,11,0.6
185,41,9,1.0
