;node_id;202_final_x;202conv;202sqr;avgOPI202sq;avgOPI_202;cicle_others_TL;cir_f2fminday;cir_f2fpropL1;cir_f2fpropL2;cir_f2fpropTL;cir_textingminday;cir_textingpropL1;cir_textingpropL2;cir_textingpropTL;cir_voiceminday;cir_voicepropL1;cir_voicepropL2;cir_voicepropTL;cir_writingminday;cir_writingpropL1;cir_writingpropL2;cir_writingpropTL;circle_biolfamily_L1;circle_biolfamily_L2;circle_biolfamily_TL;circle_classmates_L1;circle_classmates_L2;circle_classmates_TL;circle_friends_L1;circle_friends_L2;circle_friends_TL;circle_others_L1;circle_others_L2;circle_partnerwithfamily_L1;circle_partnerwithfamily_L2;circle_partnerwithfamily_TL;circle_teacher_L1;circle_teacher_L2;circle_teacher_TL;context_#daysinTLcountry;context_TLenvironment_stay;context_arrival_TLcountry;context_learningoutofclassminday;context_learntbeforefor#months;context_motivation;group_id;group_late completion;group_questionnaire_order;improv_cult;improv_gmr;improv_listening;improv_overall;improv_pron;improv_reading;improv_voc;improv_writing;interact_classmates;interact_frequency;interaction_groupintegration;living_TLhostfam;living_accommodation;living_communication_L1;living_communication_L2;living_communication_TL;living_flatsharingwith#;living_nonTLhostfam;living_other;living_privatermdorm;living_sharing#L2;living_sharing#TL;living_sharing#sameL1;living_sharingdormroomw#;living_sharingwpartner;living_singleapt;living_sum_flatmates;metric_2nd_L1;metric_Age;metric_English;metric_FLcumulative_wo_AR;metric_FLcumulativecompetence;metric_Gender;metric_L1;metric_eldersiblings;metric_general_cumulativecompet;metric_language@home;metric_level gained;metric_multilingual;metric_postsojournOPI;metric_presojournOPI;metric_sameagedsiblings;metric_sum_FL;metric_sum_languagesfromTLgroup;metric_sum_siblings;metric_targetlanguage;metric_youngersiblings;partner_01;partner_language;partner_stayingwith;partner_talkevery#days;prog202conv;prog202sqr;progOPI202sqr;progOPI_202;psycho_TLcomfort;psycho_TLcourseenjoyment;psycho_TLmistakes;psycho_TLstudyenjoyment;psycho_TLuseoutofclassminday;psycho_attention;psycho_avoidance_BAL2;psycho_fear;psycho_friends_BAL2;psycho_initiative_BAL2;psycho_learninglanguage_BAL2;psycho_listener_BAL2;psycho_mix_BAL2;psycho_motivationdegree;psycho_otherlgsminday;psycho_proficiencyingroup_BAL1;psycho_studytogether;qasid_class;student_number;202_final_y
0;1;98.7;6.5;7.4;6.7;6.2;5.0;290.0;50.0;0.0;50.0;30.0;85.0;0.0;15.0;60.0;100.0;0.0;0.0;10.0;100.0;0.0;0.0;10.0;0.0;0.0;10.0;0.0;0.0;15.0;0.0;40.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;5.0;37.0;n;17409.0;240.0;18.0;work & interests;6;;2.0;4.0;4.0;5.0;5.0;3.0;5.0;5.0;4.0;40.0;3.0;3.0;no;apartment;yes;no;no;yes;no;no;no;no;yes;yes;no;no;no;4.0;;22.0;6.0;6.0;10.0;male;eng;0.0;16.0;eng;2.0;;8.0;6.0;0.0;2.0;1.0;4.0;4.0;4.0;yes;L1;no;1.0;2.0;1.1;1.3;1.8;3.0;5.0;4.0;5.0;120.0;4.0;3.0;0.0;1.0;5.0;5.0;3.0;3.0;5.0;120.0;1.0;0.0;1;1;98.7
1;2;97.0;6.4;7.1;6.6;6.2;0.0;360.0;60.0;0.0;40.0;30.0;45.0;0.0;55.0;40.0;85.0;5.0;10.0;30.0;65.0;0.0;35.0;7.5;0.0;0.0;0.0;0.0;20.0;7.5;5.0;15.0;0.0;0.0;25.0;0.0;0.0;0.0;0.0;20.0;37.0;y;17409.0;120.0;18.0;work & interests;6;;2.0;5.0;4.0;5.0;4.0;2.0;3.0;5.0;3.0;70.0;4.0;4.0;no;apartment;yes;no;no;no;no;no;no;no;no;yes;no;yes;yes;1.0;;23.0;6.0;11.0;15.0;male;eng;4.0;21.0;eng;2.0;;8.0;6.0;0.0;4.0;1.0;13.0;4.0;9.0;yes;L1;yes;1.0;2.1;1.4;1.4;1.8;3.0;5.0;5.0;5.0;80.0;2.0;2.0;4.0;1.0;5.0;4.0;4.0;5.0;5.0;20.0;1.0;0.0;1;2;97.0
2;3;86.7;5.7;5.3;4.6;4.8;0.0;240.0;75.0;0.0;25.0;60.0;60.0;0.0;40.0;60.0;20.0;0.0;80.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;2.5;0.0;5.0;35.0;0.0;20.0;5.0;0.0;0.0;0.0;0.0;12.5;0.0;10.0;37.0;n;17409.0;210.0;24.0;work;3;;2.0;4.0;2.0;2.0;2.0;3.0;3.0;3.0;3.0;70.0;4.0;;no;apartment;yes;no;no;yes;no;no;no;no;yes;yes;no;no;yes;5.0;;23.0;6.0;3.0;6.0;male;eng;2.0;12.0;eng;3.0;;7.0;4.0;1.0;1.0;1.0;3.0;3.0;0.0;yes;L1;no;3.0;1.8;2.2;2.4;2.2;3.0;3.0;4.0;4.0;90.0;4.0;3.0;2.0;3.0;4.0;2.0;5.0;2.0;4.0;5.0;2.0;3.0;4;3;86.7
3;4;87.0;5.7;5.3;4.7;4.9;0.0;;60.0;0.0;40.0;;90.0;0.0;10.0;;100.0;0.0;0.0;;90.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;20.0;40.0;0.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;37.0;n;17409.0;180.0;16.0;study;4;;2.0;4.0;4.0;4.0;4.0;3.0;4.0;4.0;4.0;50.0;4.0;3.0;no;apartment;yes;no;no;yes;no;no;no;no;yes;yes;no;no;no;4.0;;27.0;6.0;0.0;3.0;male;eng;4.0;9.0;eng;3.0;;7.0;4.0;0.0;1.0;1.0;5.0;3.0;1.0;no;;;;1.8;2.2;2.3;2.1;1.0;5.0;1.0;4.0;120.0;1.0;4.0;4.0;4.0;4.0;2.0;5.0;1.0;4.0;0.0;2.0;0.0;4;4;87.0
4;5;79.6;5.2;4.2;4.6;5.1;15.0;600.0;50.0;0.0;50.0;30.0;25.0;0.0;75.0;30.0;95.0;0.0;5.0;10.0;50.0;0.0;50.0;5.0;0.0;0.0;0.0;0.0;12.5;25.0;0.0;5.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;12.5;37.0;n;17409.0;90.0;14.0;interests & preferences;1;;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;90.0;5.0;4.0;no;apartment;yes;no;no;yes;no;no;no;no;yes;yes;no;no;no;7.0;;21.0;6.0;3.0;6.0;female;eng;2.0;12.0;eng;1.0;;6.0;5.0;0.0;2.0;1.0;4.0;3.0;2.0;yes;L1;yes;1.0;1.3;2.3;1.4;0.9;4.0;4.0;5.0;4.0;120.0;2.0;0.0;1.0;2.0;5.0;0.0;1.0;5.0;3.0;480.0;3.0;5.0;6;5;79.6
5;6;96.2;6.3;7.0;7.0;6.7;0.0;180.0;50.0;0.0;45.0;30.0;90.0;0.0;10.0;45.0;75.0;0.0;25.0;60.0;75.0;0.0;25.0;0.0;0.0;0.0;2.5;0.0;10.0;2.5;0.0;7.5;0.0;0.0;45.0;0.0;0.0;0.0;0.0;15.0;37.0;n;17409.0;300.0;24.0;work;6;;2.0;5.0;4.0;3.0;5.0;3.0;4.0;5.0;5.0;60.0;4.0;5.0;no;apartment;yes;no;no;no;no;no;no;no;?;yes;no;yes;yes;1.0;;24.0;6.0;0.0;3.0;male;eng;0.0;9.0;eng;0.0;;7.0;7.0;0.0;1.0;1.0;6.0;3.0;6.0;yes;L1;yes;1.0;1.2;0.5;0.0;0.3;3.0;4.0;5.0;5.0;150.0;2.0;0.0;0.0;3.0;5.0;0.0;3.0;5.0;5.0;120.0;2.0;3.0;1;6;96.2
6;7;86.1;5.6;5.2;5.1;5.3;0.0;180.0;40.0;0.0;60.0;45.0;90.0;0.0;10.0;60.0;100.0;0.0;0.0;5.0;85.0;0.0;15.0;12.5;0.0;0.0;0.0;0.0;20.0;12.5;0.0;20.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;20.0;37.0;n;17409.0;120.0;12.0;work;2;;2.0;5.0;2.0;4.0;3.0;3.0;3.0;2.0;4.0;50.0;2.0;2.0;no;apartment;yes;no;no;yes;no;no;no;no;yes;yes;no;no;yes;3.0;;20.0;6.0;2.0;5.0;female;eng;0.0;11.0;eng;1.0;;6.0;5.0;0.0;2.0;1.0;2.0;3.0;2.0;yes;L1;no;1.0;0.9;1.3;0.9;0.7;2.0;3.0;4.0;5.0;60.0;5.0;4.0;5.0;5.0;0.0;1.0;5.0;3.0;4.0;120.0;3.0;4.0;5;7;86.1
7;8;86.5;5.7;5.3;5.1;5.3;0.0;350.0;50.0;15.0;35.0;20.0;35.0;0.0;65.0;10.0;5.0;0.0;95.0;60.0;60.0;0.0;40.0;0.0;0.0;0.0;7.5;0.0;12.5;50.0;0.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.0;y;17409.0;350.0;22.0;interests & preferences;3;;2.0;2.0;2.0;2.0;3.0;3.0;4.0;4.0;3.0;75.0;2.0;3.0;no;apartment;yes;no;yes;yes;no;no;no;no;yes;yes;no;no;no;4.0;;22.0;6.0;5.0;8.0;male;eng;0.0;14.0;eng;2.0;;7.0;5.0;0.0;2.0;1.0;6.0;3.0;6.0;no;;;;1.8;2.2;1.9;1.7;5.0;5.0;3.0;4.0;120.0;4.0;4.0;0.0;2.0;3.0;4.0;3.0;5.0;5.0;240.0;1.0;2.0;4;8;86.5
8;9;92.0;6.0;6.2;5.6;5.5;0.0;250.0;65.0;0.0;35.0;15.0;85.0;0.0;15.0;20.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;15.0;0.0;20.0;20.0;0.0;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;37.0;n;17409.0;75.0;12.0;interests & preferences;5;;2.0;5.0;0.0;2.0;4.0;3.0;1.0;3.0;4.0;75.0;3.0;3.0;no;apartment;yes;no;no;yes;no;no;no;no;yes;no;no;no;no;3.0;;24.0;6.0;2.0;6.0;female;eng;2.0;12.0;eng;2.0;;7.0;5.0;0.0;2.0;1.0;5.0;4.0;3.0;no;;;;1.5;1.29;1.4;1.5;2.0;3.0;1.0;4.0;80.0;2.0;3.0;0.0;5.0;1.0;1.0;5.0;2.0;4.0;300.0;3.0;1.0;2;9;92.0
9;10;95.4;6.3;6.8;5.4;5.1;0.0;240.0;65.0;0.0;35.0;30.0;85.0;0.0;15.0;15.0;95.0;0.0;5.0;30.0;80.0;10.0;10.0;10.0;0.0;0.0;10.0;0.0;5.0;10.0;5.0;20.0;5.0;0.0;25.0;0.0;0.0;0.0;0.0;5.0;37.0;n;17409.0;180.0;22.0;study;5;;2.0;4.0;2.0;2.0;3.0;3.0;3.0;4.0;3.0;60.0;4.0;4.0;no;apartment;yes;no;no;no;no;no;no;no;?;yes;no;yes;yes;1.0;;23.0;6.0;5.5;8.5;female;eng;0.0;14.5;eng;4.0;;8.0;4.0;0.0;3.0;2.0;8.0;3.0;8.0;yes;L1;yes;1.0;2.2;1.7;2.6;2.9;3.0;2.0;3.0;3.0;90.0;5.0;4.0;1.0;4.0;2.0;3.0;5.0;2.0;3.0;5.0;2.0;1.0;2;10;95.4
